"filename", "language", "CSS", "JavaScript", "Environment Variables", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\n1ght\Desktop\register\src\app\globals.css", "CSS", 24, 0, 0, 0, 0, 5, 29
"c:\Users\n1ght\Desktop\register\src\app\layout.js", "JavaScript", 0, 14, 0, 0, 0, 4, 18
"c:\Users\n1ght\Desktop\register\src\app\page.js", "JavaScript", 0, 70, 0, 0, 0, 5, 75
"c:\Users\n1ght\Desktop\register\src\components\CreateArticle\ArticleForm.jsx", "JavaScript JSX", 0, 0, 0, 79, 1, 8, 88
"c:\Users\n1ght\Desktop\register\src\components\CreateArticle\UserArticles.jsx", "JavaScript JSX", 0, 0, 0, 37, 0, 5, 42
"c:\Users\n1ght\Desktop\register\src\components\CreateArticle\UserHomePage.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 4, 18
"c:\Users\n1ght\Desktop\register\src\components\CreateArticle\UserProfile.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 3, 17
"c:\Users\n1ght\Desktop\register\src\components\HomePage\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 5, 0, 3, 8
"c:\Users\n1ght\Desktop\register\src\components\HomePage\Intro.jsx", "JavaScript JSX", 0, 0, 0, 34, 0, 4, 38
"c:\Users\n1ght\Desktop\register\src\components\Main\Main.jsx", "JavaScript JSX", 0, 0, 0, 44, 0, 4, 48
"c:\Users\n1ght\Desktop\register\src\components\SignUpReg\Header.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 3, 13
"c:\Users\n1ght\Desktop\register\src\components\SignUpReg\Login.jsx", "JavaScript JSX", 0, 0, 0, 84, 0, 9, 93
"c:\Users\n1ght\Desktop\register\src\components\SignUpReg\NavBar.jsx", "JavaScript JSX", 0, 0, 0, 69, 0, 16, 85
"c:\Users\n1ght\Desktop\register\src\components\SignUpReg\NavigateToLoginButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 1
"c:\Users\n1ght\Desktop\register\src\components\SignUpReg\Register.js", "JavaScript", 0, 47, 0, 0, 0, 5, 52
"c:\Users\n1ght\Desktop\register\src\components\SignUpReg\SignInUp.jsx", "JavaScript JSX", 0, 0, 0, 38, 0, 3, 41
"c:\Users\n1ght\Desktop\register\src\components\SignUpReg\loginRegBtn.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 3, 19
"c:\Users\n1ght\Desktop\register\src\css\Btn.css", "CSS", 25, 0, 0, 0, 0, 4, 29
"c:\Users\n1ght\Desktop\register\src\css\Main.css", "CSS", 42, 0, 0, 0, 0, 6, 48
"c:\Users\n1ght\Desktop\register\src\css\Register.css", "CSS", 60, 0, 0, 0, 0, 8, 68
"c:\Users\n1ght\Desktop\register\src\css\articleForm.css", "CSS", 40, 0, 0, 0, 0, 4, 44
"c:\Users\n1ght\Desktop\register\src\css\header.css", "CSS", 36, 0, 0, 0, 0, 5, 41
"c:\Users\n1ght\Desktop\register\src\css\navbar.css", "CSS", 24, 0, 0, 0, 0, 3, 27
"c:\Users\n1ght\Desktop\register\src\css\text.css", "CSS", 16, 0, 0, 0, 0, 2, 18
"c:\Users\n1ght\Desktop\register\src\css\userArticles.css", "CSS", 22, 0, 0, 0, 0, 2, 24
"c:\Users\n1ght\Desktop\register\src\helpers\articleReduser.js", "JavaScript", 0, 44, 0, 0, 0, 6, 50
"c:\Users\n1ght\Desktop\register\src\helpers\creatingArticle.js", "JavaScript", 0, 30, 0, 0, 0, 4, 34
"c:\Users\n1ght\Desktop\register\src\helpers\login.js", "JavaScript", 0, 4, 0, 0, 0, 1, 5
"c:\Users\n1ght\Desktop\register\src\helpers\postFunction.js", "JavaScript", 0, 21, 0, 0, 0, 1, 22
"c:\Users\n1ght\Desktop\register\src\helpers\pushingArtIDTitle.js", "JavaScript", 0, 35, 0, 0, 0, 5, 40
"c:\Users\n1ght\Desktop\register\src\helpers\reducerReg.js", "JavaScript", 0, 34, 0, 0, 0, 3, 37
"c:\Users\n1ght\Desktop\register\src\helpers\utilities.js", "JavaScript", 0, 23, 0, 0, 0, 4, 27
"c:\Users\n1ght\Desktop\register\src\server\app.js", "JavaScript", 0, 12, 0, 0, 0, 5, 17
"c:\Users\n1ght\Desktop\register\src\server\dotenv.env", "Environment Variables", 0, 0, 2, 0, 0, 0, 2
"c:\Users\n1ght\Desktop\register\src\server\rootController\rootControls.js", "JavaScript", 0, 95, 0, 0, 0, 10, 105
"c:\Users\n1ght\Desktop\register\src\server\routes\articleRoute.js", "JavaScript", 0, 10, 0, 0, 0, 3, 13
"c:\Users\n1ght\Desktop\register\src\server\routes\loginAuth.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\n1ght\Desktop\register\src\server\routes\regLogRoutes.js", "JavaScript", 0, 14, 0, 0, 0, 2, 16
"c:\Users\n1ght\Desktop\register\src\server\schemes\RegisterScheme.js", "JavaScript", 0, 37, 0, 0, 0, 4, 41
"c:\Users\n1ght\Desktop\register\src\server\schemes\articleSheme.js", "JavaScript", 0, 13, 0, 0, 0, 4, 17
"c:\Users\n1ght\Desktop\register\src\server\server.js", "JavaScript", 0, 3, 0, 0, 0, 2, 5
"c:\Users\n1ght\Desktop\register\src\types\costumer.js", "JavaScript", 0, 13, 0, 0, 0, 2, 15
"Total", "-", 289, 519, 2, 444, 1, 176, 1431
